chrom	chrompos	abspos	bincount	ratio
chr1	59861541	59861541	0	0.0
chr1	60147751	60147751	0	0.0
chr1	60424782	60424782	0	0.0
chr1	60705266	60705266	0	0.0
chr1	60991074	60991074	0	0.0
chr1	61275011	61275011	0	0.0
chr1	61551605	61551605	0	0.0
chr1	61828266	61828266	0	0.0
chr1	62105753	62105753	0	0.0
chr1	62383574	62383574	0	0.0
chr1	62662117	62662117	0	0.0
chr1	62939160	62939160	0	0.0
chr1	63220280	63220280	0	0.0
chr1	63497713	63497713	0	0.0
chr1	63777262	63777262	0	0.0
chr1	64057085	64057085	0	0.0
chr1	64333606	64333606	0	0.0
chr1	64611841	64611841	0	0.0
chr1	64895791	64895791	0	0.0
chr1	65172869	65172869	0	0.0
chr1	65451195	65451195	0	0.0
chr1	65730651	65730651	0	0.0
chr1	66011436	66011436	0	0.0
chr1	66299071	66299071	0	0.0
chr1	66580810	66580810	0	0.0
chr1	66860699	66860699	0	0.0
chr1	67140478	67140478	0	0.0
chr1	67422161	67422161	0	0.0
chr1	67705396	67705396	0	0.0
chr1	67983073	67983073	0	0.0
chr1	68262676	68262676	0	0.0
chr1	68539332	68539332	0	0.0
chr1	68816529	68816529	0	0.0
chr1	69095181	69095181	0	0.0
chr1	69381929	69381929	0	0.0
chr1	69668400	69668400	0	0.0
chr1	69947273	69947273	0	0.0
chr1	70225485	70225485	0	0.0
chr1	70511478	70511478	0	0.0
chr1	70789878	70789878	0	0.0
chr1	71070529	71070529	0	0.0
chr1	71350226	71350226	0	0.0
chr1	71630084	71630084	0	0.0
chr1	71910066	71910066	0	0.0
chr1	72192456	72192456	0	0.0
chr1	72475029	72475029	0	0.0
chr1	72752032	72752032	0	0.0
chr1	73030172	73030172	0	0.0
chr1	73308246	73308246	0	0.0
chr1	73589568	73589568	0	0.0
chr1	73869083	73869083	0	0.0
chr1	74147279	74147279	0	0.0
chr1	74424044	74424044	0	0.0
chr1	74703216	74703216	0	0.0
chr1	74986834	74986834	0	0.0
chr1	75264784	75264784	0	0.0
chr1	75547274	75547274	0	0.0
chr1	75827682	75827682	0	0.0
chr1	76115784	76115784	0	0.0
chr1	76399403	76399403	0	0.0
chr1	76677741	76677741	0	0.0
chr1	76956753	76956753	0	0.0
chr1	77234319	77234319	0	0.0
chr1	77518501	77518501	0	0.0
chr1	77797091	77797091	0	0.0
chr1	78075520	78075520	0	0.0
chr1	78354713	78354713	0	0.0
chr1	78634065	78634065	0	0.0
chr1	78916924	78916924	0	0.0
chr1	79195557	79195557	0	0.0
chr1	79477628	79477628	0	0.0
chr1	79756343	79756343	0	0.0
chr1	80038334	80038334	0	0.0
chr1	80316319	80316319	0	0.0
chr1	80597729	80597729	0	0.0
chr1	80881954	80881954	0	0.0
chr1	81159652	81159652	0	0.0
chr1	81446873	81446873	0	0.0
chr1	81724863	81724863	0	0.0
chr1	82002399	82002399	0	0.0
chr1	82279981	82279981	0	0.0
chr1	82558005	82558005	0	0.0
chr1	82842720	82842720	0	0.0
chr1	83120783	83120783	0	0.0
chr1	83398842	83398842	0	0.0
chr1	83704093	83704093	0	0.0
chr1	84047322	84047322	0	0.0
chr1	84325418	84325418	0	0.0
chr1	84609516	84609516	0	0.0
chr1	84889164	84889164	0	0.0
chr1	85166551	85166551	0	0.0
chr1	85443123	85443123	0	0.0
chr1	85721986	85721986	0	0.0
chr1	86000443	86000443	0	0.0
chr1	86285581	86285581	0	0.0
chr1	86572569	86572569	0	0.0
chr1	86856905	86856905	0	0.0
chr1	87137723	87137723	0	0.0
chr1	87424111	87424111	0	0.0
chr1	87701355	87701355	0	0.0
chr1	87978778	87978778	0	0.0
chr1	88256147	88256147	0	0.0
chr1	88533580	88533580	0	0.0
chr1	88814704	88814704	0	0.0
chr1	89091235	89091235	0	0.0
chr1	89368740	89368740	0	0.0
chr1	89648224	89648224	0	0.0
chr1	89932189	89932189	0	0.0
chr1	90215992	90215992	0	0.0
chr1	90496426	90496426	0	0.0
chr1	90781789	90781789	0	0.0
chr1	91059731	91059731	0	0.0
chr1	91336552	91336552	0	0.0
chr1	91615812	91615812	0	0.0
chr1	91906095	91906095	0	0.0
chr1	92185016	92185016	0	0.0
chr1	92462749	92462749	0	0.0
chr1	92741898	92741898	0	0.0
chr1	93022080	93022080	0	0.0
chr1	93301750	93301750	0	0.0
chr1	93580732	93580732	0	0.0
chr1	93859757	93859757	0	0.0
chr1	94140750	94140750	0	0.0
chr1	94424896	94424896	0	0.0
chr1	94703091	94703091	0	0.0
chr1	94984148	94984148	0	0.0
chr1	95261887	95261887	0	0.0
chr1	95538542	95538542	0	0.0
chr1	95820367	95820367	0	0.0
chr1	96097428	96097428	0	0.0
chr1	96374015	96374015	0	0.0
chr1	96655764	96655764	0	0.0
chr1	96939101	96939101	0	0.0
chr1	97221024	97221024	0	0.0
chr1	97501258	97501258	0	0.0
chr1	97781091	97781091	0	0.0
chr1	98063051	98063051	0	0.0
chr1	98340624	98340624	0	0.0
chr1	98618119	98618119	0	0.0
chr1	98898306	98898306	0	0.0
chr1	99179157	99179157	0	0.0
chr1	99457153	99457153	0	0.0
chr1	99735278	99735278	0	0.0
chr1	100020346	100020346	0	0.0
chr1	100298371	100298371	0	0.0
chr1	100575877	100575877	0	0.0
chr1	100854296	100854296	0	0.0
chr1	101135071	101135071	0	0.0
chr1	101414753	101414753	0	0.0
chr1	101691818	101691818	0	0.0
chr1	101968873	101968873	0	0.0
chr1	102248079	102248079	0	0.0
chr1	102525677	102525677	0	0.0
chr1	102805331	102805331	0	0.0
chr1	103087725	103087725	0	0.0
chr1	103368151	103368151	0	0.0
chr1	103651232	103651232	0	0.0
chr1	104154080	104154080	0	0.0
chr1	104567941	104567941	0	0.0
chr1	104848639	104848639	0	0.0
chr1	105127685	105127685	0	0.0
chr1	105418600	105418600	0	0.0
chr1	105697225	105697225	0	0.0
chr1	105978017	105978017	0	0.0
chr1	106258791	106258791	0	0.0
chr1	106539866	106539866	0	0.0
chr1	106818500	106818500	0	0.0
chr1	107097048	107097048	0	0.0
chr1	107373932	107373932	0	0.0
chr1	107651903	107651903	0	0.0
chr1	107929193	107929193	0	0.0
chr1	108209082	108209082	0	0.0
chr1	108486909	108486909	0	0.0
chr1	108793102	108793102	0	0.0
chr1	109225827	109225827	0	0.0
chr1	109502918	109502918	0	0.0
chr1	109781384	109781384	0	0.0
chr1	110057995	110057995	0	0.0
chr1	110347485	110347485	0	0.0
chr1	110626385	110626385	0	0.0
chr1	110903096	110903096	0	0.0
chr1	111180040	111180040	0	0.0
chr1	111459554	111459554	0	0.0
chr1	111740081	111740081	0	0.0
chr1	112020386	112020386	0	0.0
chr1	112298710	112298710	0	0.0
chr1	112576409	112576409	0	0.0
chr1	112865059	112865059	0	0.0
chr1	113142395	113142395	0	0.0
chr1	113421326	113421326	0	0.0
chr1	113702216	113702216	0	0.0
chr1	113984566	113984566	0	0.0
chr1	114273375	114273375	0	0.0
chr1	114550504	114550504	0	0.0
chr1	114829343	114829343	0	0.0
chr1	115108341	115108341	0	0.0
chr1	115386603	115386603	0	0.0
chr1	115666753	115666753	0	0.0
chr1	115948133	115948133	0	0.0
chr1	116227670	116227670	0	0.0
chr1	116504959	116504959	0	0.0
chr1	116787455	116787455	0	0.0
chr1	117064002	117064002	0	0.0
chr1	117351032	117351032	0	0.0
chr1	117628988	117628988	0	0.0
chr1	117910700	117910700	0	0.0
chr1	118189865	118189865	0	0.0
chr1	118469811	118469811	0	0.0
chr1	118747432	118747432	0	0.0
chr1	119028841	119028841	0	0.0
chr1	119315436	119315436	0	0.0
chr1	119603049	119603049	0	0.0
chr1	119882045	119882045	0	0.0
chr1	120165549	120165549	0	0.0
chr1	120444304	120444304	0	0.0
chr1	121152787	121152787	0	0.0
chr1	142589953	142589953	0	0.0
chr1	143380663	143380663	0	0.0
chr1	144703658	144703658	0	0.0
chr1	145128992	145128992	0	0.0
chr1	145545955	145545955	0	0.0
chr1	146468807	146468807	0	0.0
chr1	146761727	146761727	0	0.0
chr1	147050001	147050001	0	0.0
chr1	147327452	147327452	0	0.0
chr1	148540788	148540788	0	0.0
chr1	149183424	149183424	0	0.0
chr1	149850896	149850896	0	0.0
chr1	150128658	150128658	0	0.0
chr1	150405953	150405953	0	0.0
chr1	150684022	150684022	0	0.0
chr1	150964481	150964481	0	0.0
chr1	151241868	151241868	0	0.0
chr1	151518655	151518655	0	0.0
chr1	151799037	151799037	0	0.0
chr1	152076287	152076287	0	0.0
chr1	152367416	152367416	0	0.0
chr1	152652462	152652462	0	0.0
chr1	152935731	152935731	0	0.0
chr1	153217902	153217902	0	0.0
chr1	153499689	153499689	0	0.0
chr1	153777664	153777664	0	0.0
chr1	154055664	154055664	0	0.0
chr1	154333795	154333795	0	0.0
chr1	154610654	154610654	0	0.0
chr1	154888633	154888633	0	0.0
chr1	155166770	155166770	0	0.0
chr1	155449060	155449060	0	0.0
chr1	155746927	155746927	0	0.0
chr1	156025468	156025468	0	0.0
chr1	156303927	156303927	0	0.0
chr1	156582275	156582275	0	0.0
chr1	156858985	156858985	0	0.0
chr1	157136473	157136473	0	0.0
chr1	157419962	157419962	0	0.0
chr1	157700030	157700030	0	0.0
chr1	157977606	157977606	0	0.0
chr1	158260546	158260546	0	0.0
chr1	158543474	158543474	0	0.0
chr1	158823482	158823482	0	0.0
chr1	159109307	159109307	0	0.0
chr1	159391089	159391089	0	0.0
chr1	159677886	159677886	0	0.0
chr1	159959436	159959436	0	0.0
chr1	160235992	160235992	0	0.0
chr1	160514725	160514725	0	0.0
chr1	160796307	160796307	0	0.0
chr1	161074950	161074950	0	0.0
chr1	161352891	161352891	0	0.0
chr1	161724341	161724341	0	0.0
chr1	162002679	162002679	0	0.0
chr1	162280693	162280693	0	0.0
chr1	162561228	162561228	0	0.0
chr1	162848955	162848955	0	0.0
chr1	163127634	163127634	0	0.0
chr1	163406516	163406516	0	0.0
chr1	163688195	163688195	0	0.0
chr1	163969672	163969672	0	0.0
chr1	164251041	164251041	0	0.0
chr1	164533325	164533325	0	0.0
chr1	164810252	164810252	0	0.0
chr1	165090350	165090350	0	0.0
chr1	165367465	165367465	0	0.0
chr1	165644608	165644608	0	0.0
chr1	165924040	165924040	0	0.0
chr1	166207551	166207551	0	0.0
chr1	166496392	166496392	0	0.0
chr1	166776456	166776456	0	0.0
chr1	167053425	167053425	0	0.0
chr1	167330049	167330049	0	0.0
chr1	167607180	167607180	0	0.0
chr1	167884727	167884727	0	0.0
chr1	168162492	168162492	0	0.0
chr1	168444387	168444387	0	0.0
chr1	168727445	168727445	0	0.0
chr1	169005754	169005754	0	0.0
chr1	169288138	169288138	0	0.0
chr1	169566072	169566072	0	0.0
chr1	169844620	169844620	0	0.0
chr1	170128907	170128907	0	0.0
chr1	170410112	170410112	0	0.0
chr1	170688428	170688428	0	0.0
chr1	170967604	170967604	0	0.0
chr1	171246442	171246442	0	0.0
chr1	171528266	171528266	0	0.0
chr1	171808852	171808852	0	0.0
chr1	172090476	172090476	0	0.0
chr1	172372671	172372671	0	0.0
chr1	172650901	172650901	0	0.0
chr1	172929623	172929623	0	0.0
chr1	173215477	173215477	0	0.0
chr1	173494461	173494461	0	0.0
chr1	173774362	173774362	0	0.0
chr1	174052297	174052297	0	0.0
chr1	174337136	174337136	0	0.0
chr1	174633643	174633643	0	0.0
chr1	174918031	174918031	0	0.0
chr1	175196174	175196174	0	0.0
chr1	175474596	175474596	0	0.0
chr1	175751979	175751979	0	0.0
chr1	176033734	176033734	0	0.0
chr1	176319700	176319700	0	0.0
chr1	176597738	176597738	0	0.0
chr1	176877442	176877442	0	0.0
chr1	177154068	177154068	0	0.0
chr1	177434957	177434957	0	0.0
chr1	177719360	177719360	0	0.0
chr1	177999577	177999577	0	0.0
chr1	178277383	178277383	0	0.0
chr1	178558757	178558757	0	0.0
chr1	178840996	178840996	0	0.0
chr1	179121973	179121973	0	0.0
chr1	179399767	179399767	0	0.0
chr1	179681673	179681673	0	0.0
chr1	179958742	179958742	0	0.0
chr1	180235888	180235888	0	0.0
chr1	180516796	180516796	0	0.0
chr1	180798877	180798877	0	0.0
chr1	181081659	181081659	0	0.0
chr1	181362078	181362078	0	0.0
chr1	181638684	181638684	0	0.0
chr1	181917123	181917123	0	0.0
chr1	182194815	182194815	0	0.0
chr1	182472585	182472585	0	0.0
chr1	182751096	182751096	0	0.0
chr1	183029444	183029444	0	0.0
chr1	183306103	183306103	0	0.0
chr1	183584095	183584095	0	0.0
chr1	183866249	183866249	0	0.0
chr1	184145177	184145177	0	0.0
chr1	184424668	184424668	0	0.0
chr1	184701455	184701455	0	0.0
chr1	184988381	184988381	0	0.0
chr1	185269163	185269163	0	0.0
chr1	185549024	185549024	0	0.0
chr1	185830879	185830879	0	0.0
chr1	186112956	186112956	0	0.0
chr1	186395190	186395190	0	0.0
chr1	186675753	186675753	0	0.0
chr1	186954201	186954201	0	0.0
chr1	187232445	187232445	0	0.0
chr1	187516707	187516707	0	0.0
chr1	187803850	187803850	0	0.0
chr1	188082615	188082615	0	0.0
chr1	188360177	188360177	0	0.0
chr1	188640242	188640242	0	0.0
chr1	188920674	188920674	0	0.0
chr1	189198925	189198925	0	0.0
chr1	189482154	189482154	0	0.0
chr1	189761061	189761061	0	0.0
chr1	190038473	190038473	0	0.0
chr1	190315467	190315467	0	0.0
chr1	190593001	190593001	0	0.0
chr1	190874162	190874162	0	0.0
chr1	191154357	191154357	0	0.0
chr1	191432269	191432269	0	0.0
chr1	191710380	191710380	0	0.0
chr1	191988130	191988130	0	0.0
chr1	192266140	192266140	0	0.0
chr1	192550365	192550365	0	0.0
chr1	192828908	192828908	0	0.0
chr1	193106112	193106112	0	0.0
chr1	193383778	193383778	0	0.0
chr1	193662273	193662273	0	0.0
chr1	193946117	193946117	0	0.0
chr1	194225908	194225908	0	0.0
chr1	194507035	194507035	0	0.0
chr1	194784564	194784564	0	0.0
chr1	195062947	195062947	0	0.0
chr1	195341675	195341675	0	0.0
chr1	195620928	195620928	0	0.0
chr1	195902164	195902164	0	0.0
chr1	196181071	196181071	0	0.0
chr1	196464584	196464584	0	0.0
chr1	196752780	196752780	0	0.0
chr1	197055245	197055245	0	0.0
chr1	197332452	197332452	0	0.0
chr1	197614572	197614572	0	0.0
chr1	197899425	197899425	0	0.0
chr1	198177445	198177445	0	0.0
chr1	198459223	198459223	0	0.0
chr1	198736102	198736102	0	0.0
chr1	199015252	199015252	0	0.0
chr1	199292230	199292230	0	0.0
chr1	199573023	199573023	0	0.0
chr1	199853275	199853275	0	0.0
chr1	200130876	200130876	0	0.0
chr1	200409389	200409389	0	0.0
chr1	200686129	200686129	0	0.0
chr1	200966246	200966246	0	0.0
chr1	201246607	201246607	0	0.0
chr1	201523314	201523314	0	0.0
chr1	201801084	201801084	0	0.0
chr1	202078026	202078026	0	0.0
chr1	202358040	202358040	0	0.0
chr1	202645784	202645784	0	0.0
chr1	202923243	202923243	0	0.0
chr1	203200608	203200608	0	0.0
chr1	203479878	203479878	0	0.0
chr1	203756813	203756813	0	0.0
chr1	204035607	204035607	0	0.0
chr1	204312782	204312782	0	0.0
chr1	204590015	204590015	0	0.0
chr1	204866891	204866891	0	0.0
chr1	205143435	205143435	0	0.0
chr1	205422724	205422724	0	0.0
chr1	205699428	205699428	0	0.0
chr1	206203698	206203698	0	0.0
chr1	206689937	206689937	0	0.0
chr1	206966753	206966753	0	0.0
chr1	207243469	207243469	0	0.0
chr1	207522531	207522531	0	0.0
chr1	207843088	207843088	0	0.0
chr1	208125570	208125570	0	0.0
chr1	208402259	208402259	0	0.0
chr1	208679022	208679022	0	0.0
chr1	208959063	208959063	0	0.0
chr1	209236655	209236655	0	0.0
chr1	209517092	209517092	0	0.0
chr1	209794867	209794867	0	0.0
chr1	210071561	210071561	0	0.0
chr1	210355691	210355691	0	0.0
chr1	210634479	210634479	0	0.0
chr1	210912327	210912327	0	0.0
chr1	211194938	211194938	0	0.0
chr1	211473568	211473568	0	0.0
chr1	211753397	211753397	0	0.0
chr1	212030697	212030697	0	0.0
chr1	212308929	212308929	0	0.0
chr1	212588860	212588860	0	0.0
chr1	212867437	212867437	0	0.0
chr1	213149068	213149068	0	0.0
chr1	213430605	213430605	0	0.0
chr1	213709468	213709468	0	0.0
chr1	213989088	213989088	0	0.0
chr1	214265836	214265836	0	0.0
chr1	214542377	214542377	0	0.0
chr1	214819707	214819707	0	0.0
chr1	215099078	215099078	0	0.0
chr1	215377694	215377694	0	0.0
chr1	215656241	215656241	0	0.0
chr1	215934059	215934059	0	0.0
chr1	216213955	216213955	0	0.0
chr1	216492867	216492867	0	0.0
chr1	216773006	216773006	0	0.0
chr1	217049705	217049705	0	0.0
chr1	217326228	217326228	0	0.0
chr1	217604696	217604696	0	0.0
chr1	217887259	217887259	0	0.0
chr1	218164205	218164205	0	0.0
chr1	218446681	218446681	0	0.0
chr1	218723852	218723852	0	0.0
chr1	219002904	219002904	0	0.0
chr1	219281227	219281227	0	0.0
chr1	219558706	219558706	0	0.0
chr1	219847956	219847956	0	0.0
chr1	220133966	220133966	0	0.0
chr1	220411766	220411766	0	0.0
chr1	220689808	220689808	0	0.0
chr1	220968226	220968226	0	0.0
chr1	221246151	221246151	0	0.0
chr1	221523661	221523661	0	0.0
chr1	221801827	221801827	0	0.0
chr1	222078905	222078905	0	0.0
chr1	222358103	222358103	0	0.0
chr1	222639545	222639545	0	0.0
chr1	222940910	222940910	0	0.0
chr1	223222929	223222929	0	0.0
chr1	223504645	223504645	0	0.0
chr1	223859031	223859031	0	0.0
chr1	224189576	224189576	0	0.0
chr1	224479790	224479790	0	0.0
chr1	224758132	224758132	0	0.0
chr1	225035681	225035681	0	0.0
chr1	225319885	225319885	0	0.0
chr1	225600062	225600062	0	0.0
chr1	225877529	225877529	0	0.0
chr1	226155475	226155475	0	0.0
chr1	226433997	226433997	0	0.0
chr1	226711557	226711557	0	0.0
chr1	226989091	226989091	0	0.0
chr1	227267746	227267746	0	0.0
chr1	227547346	227547346	0	0.0
chr1	227834715	227834715	0	0.0
chr1	228113207	228113207	0	0.0
chr1	228399191	228399191	0	0.0
chr1	228676237	228676237	0	0.0
chr1	228995555	228995555	0	0.0
chr1	229273414	229273414	0	0.0
chr1	229551733	229551733	0	0.0
chr1	229828724	229828724	0	0.0
chr1	230106758	230106758	0	0.0
chr1	230383339	230383339	0	0.0
chr1	230661930	230661930	0	0.0
chr1	230939488	230939488	0	0.0
chr1	231216818	231216818	0	0.0
chr1	231494264	231494264	0	0.0
chr1	231772279	231772279	0	0.0
chr1	232051208	232051208	0	0.0
chr1	232331453	232331453	0	0.0
chr1	232610472	232610472	0	0.0
chr1	232887517	232887517	0	0.0
chr1	233165704	233165704	0	0.0
chr1	233443443	233443443	0	0.0
chr1	233720158	233720158	0	0.0
chr1	233999245	233999245	0	0.0
chr1	234277825	234277825	0	0.0
chr1	234555563	234555563	0	0.0
chr1	234832305	234832305	0	0.0
chr1	235126857	235126857	0	0.0
chr1	235453826	235453826	0	0.0
chr1	235734571	235734571	0	0.0
chr1	236011492	236011492	0	0.0
chr1	236289283	236289283	0	0.0
chr1	236567516	236567516	0	0.0
chr1	236844596	236844596	0	0.0
chr1	237123971	237123971	0	0.0
chr1	237411821	237411821	0	0.0
chr1	237688874	237688874	0	0.0
chr1	237967437	237967437	0	0.0
chr1	238247019	238247019	0	0.0
chr1	238524984	238524984	0	0.0
chr1	238801875	238801875	0	0.0
chr1	239079916	239079916	0	0.0
chr1	239357451	239357451	0	0.0
chr1	239634148	239634148	0	0.0
